Bill No.,Year,Short Title of Bill,Ministry,Date of Introduction,Date of Introduction Proper,Date of Passing in Lok Sabha,Date of Passing in Lok Sabha Proper,Date of Passing in Rajya Sabha,Date of Passing in Rajya Sabha Proper,Diff RS-LS,Diff RS-LS Cleaned,Date of Assent,Date of Assent Proper,Diff Ass-LS,Diff Ass-LS Clean,Act No.,Bill Category,Status,URL for Bills as Introduced,URL for Bills as Passed in Both Houses,URL of Errata
84,2000,"The Appropriation (No.2) Bill, 2000                                                                                                                                                                     ",NA,5/2/2000,5/2/2000,5/2/2000,5/2/2000,5/8/2000,5/8/2000,6,6,5/12/2000,5/12/2000,10,10,11,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/84_2000.pdf,NA,NA
88,2000,"The Rehabilitation Council of India (Amendment) Bill, 2000                                                                                                                                              ",SOCIAL JUSTICE AND EMPOWERMENT,5/2/2000,5/2/2000,8/10/2000,8/10/2000,25-08-2000,8/25/2000,15,15,9/4/2000,9/4/2000,25,25,38,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/88_2000.pdf,NA,NA
89,2000,"The Motor Vehicles (Amendment) Bill, 2000                                                                                                                                                               ",NA,5/4/2000,5/4/2000,26-07-2000,7/26/2000,8/2/2000,8/2/2000,7,7,8/11/2000,8/11/2000,16,16,27,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/89_2000.pdf,NA,NA
90,2000,"The Constitution (Ninetieth Amendment) Bill, 2000                                                                                                                                                       ","PERSONNEL,  PUBLIC  GRIEVANCES  AND  PENSIONS",5/8/2000,5/8/2000,5/10/2000,5/10/2000,16-05-2000,5/16/2000,6,6,5/10/2000,5/10/2000,0,0,                    ,Constitutional Amendment Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/90_2000.pdf,NA,NA
91,2000,"The Iron and Steel Companies (Amalgamation and Takeover Laws) Repeal Bill, 2000                                                                                                                         ",STEEL,15-05-2000,5/15/2000,28-07-2000,7/28/2000,8/2/2000,8/2/2000,5,5,8/11/2000,8/11/2000,14,14,26,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/91_2000.pdf,NA,NA
92,2000,"The Salary, Allowances and Pension of Members of Parliament (Amendment) Bill, 2000                                                                                                                      ",PARLIAMENTARY  AFFAIRS,5/12/2000,5/12/2000,NA,NA,NA,NA,NA,0,NA,NA,NA,0,                    ,Ordinary Bill,NA,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/92_2000.pdf,NA,NA
93,2000,"The Biological Diversity Bill,2000                                                                                                                                                                      ",ENVIRONMENT AND FORESTS,15-05-2000,5/15/2000,12/2/2002,12/2/2002,12/11/2002,12/11/2002,9,9,2/5/2003,2/5/2003,65,65,18,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/93_2000.pdf,NA,NA
94,2000,"The Leaders and Chief Whips of Recognised Parties and Groups in Parliament (Facilites) Amendment, 2000                                                                                                  ",PARLIAMENTARY  AFFAIRS,15-05-2000,5/15/2000,16-05-2000,5/16/2000,17-05-2000,5/17/2000,1,1,6/7/2000,6/7/2000,22,22,18,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/94_2000.pdf,NA,NA
95,2000,"The Uttar Pradesh Reorganisation Bill, 2000                                                                                                                                                             ",HOME AFFAIRS,24-07-2000,7/24/2000,NA,NA,NA,NA,NA,0,NA,NA,NA,0,                    ,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/95_2000.pdf,NA,NA
96,2000,"The Madhya Pardesh Reorganisation Bill, 2000                                                                                                                                                            ",HOME AFFAIRS,25-07-2000,7/25/2000,31-07-2000,7/31/2000,8/9/2000,8/9/2000,9,9,25-08-2000,8/25/2000,25,25,28,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/96_2000.pdf,NA,NA
97,2000,"The Bihar Reorganisation Bill, 2000                                                                                                                                                                     ",HOME AFFAIRS,24-07-2000,7/24/2000,NA,NA,NA,NA,NA,0,NA,NA,NA,0,30,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/97_2000.pdf,NA,NA
98,2000,"The Freedom of Information Bill, 2000                                                                                                                                                                   ","PERSONNEL,  PUBLIC  GRIEVANCES  AND  PENSIONS",25-07-2000,7/25/2000,3/12/2002,3/12/2002,16-12-2002,12/16/2002,279,279,1/6/2003,1/6/2003,300,300,5,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/98_2000.pdf,NA,NA
99,2000,"The Border Security Force (Amendment) Bill, 2000                                                                                                                                                        ",HOME AFFAIRS,25-07-2000,7/25/2000,8/3/2000,8/3/2000,21-08-2000,8/21/2000,18,18,9/1/2000,9/1/2000,29,29,35,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/99_2000.pdf,NA,NA
123,2000,"The State Financial Corporation (Amendment) Bill,2000.                                                                                                                                                  ",NA,31-07-2000,7/31/2000,8/9/2000,8/9/2000,21-08-2000,8/21/2000,12,12,9/5/2000,9/5/2000,27,27,39,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/123_2000.pdf,NA,NA
125,2000,"The Cable Television Network (Regulation) Amendment, 2000                                                                                                                                               ",INFORMATION AND BROADCASTING,8/3/2000,8/3/2000,8/11/2000,8/11/2000,21-08-2000,8/21/2000,10,10,9/1/2000,9/1/2000,21,21,36,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/125_2000.pdf,NA,NA
133,2000,"The Protection of Human Rights (Amendment) Bill,2000                                                                                                                                                    ",HOME AFFAIRS,8/7/2000,8/7/2000,23-11-2000,11/23/2000,29-11-2000,11/29/2000,6,6,12/11/2000,12/11/2000,18,18,49,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/133_2000.pdf,NA,NA
139,2000,"The Punjab Municipal Coprporation Law (Extension to Chandigarh) Amendment Bill, 2000                                                                                                                    ",HOME AFFAIRS,10/8/2000,10/8/2000,23-11-2000,11/23/2000,29-11-2000,11/29/2000,6,6,12/11/2000,12/11/2000,18,18,50,Ordinary Bill,Passed                        ,NA,NA,NA
142,2000,"The Aircraft (Amendment) Bill, 2000                                                                                                                                                                     ",CIVIL AVIATION,16-08-2000,8/16/2000,23-11-2000,11/23/2000,29-11-2000,11/29/2000,6,6,12/11/2000,12/11/2000,18,18,51,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/142_2000.pdf,NA,NA
144,2000,"The Appropriation(No.3) Bill, 2000                                                                                                                                                                      ",NA,21-08-2000,8/21/2000,21-08-2000,8/21/2000,22-08-2000,8/22/2000,1,1,9/8/2000,9/8/2000,18,18,40,Ordinary Bill,Passed                        ,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/144_2000.pdf,NA,NA
